tavg,tmin,tmax,wdir,wspd,pres,City,date
18.0,15.3,22.4,,,,Aqaba Airport,1999-01-01
17.9,12.0,23.8,,,,Aqaba Airport,1999-01-02
18.3,11.4,24.0,,,,Aqaba Airport,1999-01-03
17.9,14.6,22.0,,,,Aqaba Airport,1999-01-04
18.2,12.7,21.2,,,,Aqaba Airport,1999-01-05
17.9,14.0,21.5,,,,Aqaba Airport,1999-01-06
15.1,10.5,20.2,,,,Aqaba Airport,1999-01-07
14.9,8.0,19.7,,,,Aqaba Airport,1999-01-08
15.4,13.1,18.2,,,,Aqaba Airport,1999-01-09
,10.0,22.4,,,,Aqaba Airport,1999-01-10
17.1,10.0,23.4,,,,Aqaba Airport,1999-01-11
18.0,10.0,24.5,,,,Aqaba Airport,1999-01-12
19.1,12.2,23.0,,,,Aqaba Airport,1999-01-13
18.2,13.0,22.3,,,,Aqaba Airport,1999-01-14
16.2,11.5,20.4,,,,Aqaba Airport,1999-01-15
17.1,10.0,21.2,,,,Aqaba Airport,1999-01-16
16.2,12.7,20.0,,,,Aqaba Airport,1999-01-17
17.8,14.5,21.7,,,,Aqaba Airport,1999-01-18
16.6,10.1,21.0,,,,Aqaba Airport,1999-01-19
14.9,9.3,19.7,,,,Aqaba Airport,1999-01-20
15.3,7.7,21.0,,,,Aqaba Airport,1999-01-21
17.9,8.7,25.0,,,,Aqaba Airport,1999-01-22
17.4,9.7,22.0,,,,Aqaba Airport,1999-01-23
17.4,14.5,20.6,,,,Aqaba Airport,1999-01-24
17.4,10.6,22.4,,,,Aqaba Airport,1999-01-25
17.9,11.9,25.6,,,,Aqaba Airport,1999-01-26
17.8,12.6,23.4,,,,Aqaba Airport,1999-01-27
15.5,9.5,21.0,,,,Aqaba Airport,1999-01-28
15.1,11.3,19.7,,,,Aqaba Airport,1999-01-29
16.3,7.5,23.0,,,,Aqaba Airport,1999-01-30
17.2,6.8,23.9,,,,Aqaba Airport,1999-01-31
20.6,9.7,25.6,,,,Aqaba Airport,1999-02-01
21.1,14.2,26.2,,,,Aqaba Airport,1999-02-02
19.2,16.7,23.4,,,,Aqaba Airport,1999-02-03
16.3,14.2,22.8,,,,Aqaba Airport,1999-02-04
17.8,14.6,22.4,,,,Aqaba Airport,1999-02-05
16.0,10.4,19.8,,,,Aqaba Airport,1999-02-06
14.4,8.9,18.2,,,,Aqaba Airport,1999-02-07
15.4,9.4,19.4,,,,Aqaba Airport,1999-02-08
16.1,10.2,20.6,,,,Aqaba Airport,1999-02-09
16.2,11.2,21.0,,,,Aqaba Airport,1999-02-10
18.6,12.6,23.6,,,,Aqaba Airport,1999-02-11
19.3,9.7,25.6,,,,Aqaba Airport,1999-02-12
